company_cd,rr_cd,company_name,company_name_k,company_name_h,company_name_r,company_url,company_type,e_status,e_sort
192,99,사가노관광철도,,嵯峨野観光鉄道株式会社,嵯峨野トロッコ,http://www.sagano-kanko.co.jp/,0,0,190
193,99,에이잔전철,,叡山電鉄株式会社,叡電,http://eizandensha.co.jp/,0,0,191
194,99,교토탄고철도,,WILLER TRAINS株式会社,丹鉄,http://travel.willer.co.jp/campaign/tantetsu/,0,0,192
195,99,교토시교통국,,京都市交通局,京都市交通局,http://www.city.kyoto.lg.jp/kotsu/,0,0,193
196,99,케이후쿠전기철도,,京福電気鉄道株式会社,京福電気鉄道,http://www.keifuku.co.jp/,0,0,194
197,99,키타오사카급행전철,,北大阪急行電鉄株式会社,北急,http://www.kita-kyu.co.jp/,3,0,195
198,99,오사카부도시개발,,大阪府都市開発株式会社,泉北高速,http://www.otk-group.co.jp/,3,0,196
199,99,미즈마철도,,水間鉄道株式会社,水鉄,http://www.suitetsu.com/,0,0,197
200,99,오사카시교통국,,大阪市交通局,大阪市交通局,http://www.kotsu.city.osaka.jp/,0,0,198
201,99,오사카고속철도,,大阪高速鉄道株式会社,大阪モノレール,http://www.osaka-monorail.co.jp/,0,0,199
202,99,한카이전기궤도,,阪堺電気軌道株式会社,阪堺,http://www.hankai.co.jp/,0,0,200
203,99,고베고속철도,,神戸高速鉄道株式会社,神戸高速,http://www.kobe-kousoku.jp/,3,0,201
204,99,고베전철,,神戸電鉄株式会社,神鉄,http://www.shintetsu.co.jp/,0,0,202
205,99,호쿠신급행전철,,北神急行電鉄株式会社,北神急行,http://www.hokushinkyuko.co.jp/,0,0,203
206,99,산요전기철도,,山陽電気鉄道株式会社,山陽電車,http://www.sanyo-railway.co.jp/,3,0,204
207,99,노세전철,,能勢電鉄株式会社,能勢電,http://noseden.hankyu.co.jp/,0,0,205
208,99,미키철도,,三木鉄道株式会社,三木鉄道,,0,2,206
209,99,호조철도,,北条鉄道株式会社,北条鉄道,http://www.hojorailway.jp/,0,0,207
210,99,치즈급행,,智頭急行株式会社,智頭急,http://www.chizukyu.co.jp/,0,0,208
211,99,고베시교통국,,神戸市交通局,神戸市交通局,http://www.city.kobe.lg.jp/,0,0,209
212,99,고베신교통,,神戸新交通株式会社,新神交,http://www.knt-liner.co.jp/,0,0,210
213,99,키슈철도,,紀州鉄道株式会社,紀鉄,http://www.kitetsu.co.jp/,0,0,211
214,99,와카야마전철,,和歌山電鐵株式会社,和歌山電鐵,http://www.wakayama-dentetsu.co.jp/,0,0,212
215,99,와카사철도,,若桜鉄道株式会社,若鉄,http://www.infosakyu.ne.jp/~wakatetu/,0,0,213
216,99,이치바타전차,,一畑電車株式会社,ばたでん,http://www.ichibata.co.jp/railway/,0,0,214
217,99,미즈시마임해철도,,水島臨海鉄道株式会社,水島臨海鉄道,http://www.mizurin.co.jp/,0,0,215
218,99,이바라철도,,井原鉄道株式会社,井原鉄道,http://plus.harenet.ne.jp/~ibarasen/,0,0,216
219,99,오카야마전기궤도,,岡山電気軌道株式会社,岡電,http://www.okayama-kido.co.jp/,0,0,217
220,99,스카이레일서비스,,スカイレールサービス株式会社,スカイレールサービス,,0,0,218
221,99,히로시마고속교통,,広島高速交通株式会社,広島高速交通,http://astramline.co.jp/,0,0,219
222,99,히로시마전철,,広島電鉄株式会社,広電,http://www.hiroden.co.jp/,0,0,220
223,99,니시키가와철도,,錦川鉄道株式会社,錦川鉄道,http://nishikigawa.com/,0,0,221
224,99,아사해안철도,,阿佐海岸鉄道株式会社,阿佐鉄,http://www.asatetu.v-co.jp/,0,0,222
225,99,타카마츠코토히라전기철도,,高松琴平電気鉄道株式会社,琴電,http://www.kotoden.co.jp/,0,0,223
226,99,이요철도,,伊予鉄道株式会社,伊予鉄,http://www.iyotetsu.co.jp/,0,0,224
227,99,토사쿠로시오철도,,土佐くろしお鉄道株式会社,土佐くろしお鉄道,http://www.tosakuro.co.jp/,0,0,225
228,99,토사전기철도,,土佐電気鉄道株式会社,土佐電,http://www.tosaden.co.jp/,0,0,226
229,99,아마기철도,,甘木鉄道株式会社,甘木鉄道,http://www.amatetsu.jp/,0,0,227
230,99,헤이세이치쿠호철도,,平成筑豊鉄道株式会社,平成筑豊鉄道,http://www.heichiku.net/,0,0,228
231,99,후쿠오카시교통국,,福岡市交通局,福岡市交通局,http://subway.city.fukuoka.lg.jp/,0,0,229
232,99,키타큐슈고속철도,,北九州高速鉄道株式会社,北九州モノレール,http://www.kitakyushu-monorail.co.jp/,0,0,230
233,99,치쿠호전기철도,,筑豊電気鉄道株式会社,筑鉄,http://www.chikutetsu.co.jp/,0,0,231
234,99,마츠우라철도,,松浦鉄道株式会社,松浦鉄道,http://www.matutetu.com/,0,0,232
235,99,시마바라철도,,島原鉄道株式会社,島原鉄道,http://www.shimatetsu.co.jp/,0,0,233
236,99,나가사키전기궤도,,長崎電気軌道株式会社,長崎電気軌道,http://www.naga-den.com/,0,0,234
237,99,구마모토전기철도,,熊本電気鉄道株式会社,熊本電気鉄道,http://www.kumamotodentetsu.co.jp/,0,0,235
238,99,미나미아소철도,,南阿蘇鉄道株式会社,南阿蘇鉄道,http://www.mt-torokko.com/,0,0,236
239,99,쿠마가와철도,,くま川鉄道株式会社,くま川鉄道,http://www.kumagawa-rail.com/,0,0,237
240,99,히사츠오렌지철도,,肥薩おれんじ鉄道株式会社,肥薩おれんじ鉄道,http://www.hs-orange.com/,0,0,238
241,99,구마모토시교통국,,熊本市交通局,熊本市交通局,http://www.kotsu-kumamoto.jp/,0,0,239
242,99,가고시마시교통국,,鹿児島市交通局,鹿児島市交通局,http://www.kotsu-city-kagoshima.jp/,0,0,240
243,99,오키나와도시모노레일,,沖縄都市モノレール株式会社,沖縄都市モノレール,http://www.yui-rail.co.jp/,0,0,241
